Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),91.7936880646716,9.54294987254965,9.61900557905231,39,7.59832573602902e-12,72.4912500070994,111.096126122244
genotype_NF1(NF1-KO/WT),11.9251198279444,11.6497674356386,1.02363587031475,39,0.31231505726019,-11.6387589846619,35.4889986405506
sex_Male,-25.1463375304915,16.7083844970708,-1.5050130989564,39,0.14037733376546,-58.9422351411996,8.64956008021651
which_eye_Right,-2.49101644366422,13.1177887853721,-0.189896062851843,39,0.850375523479966,-29.0242487107964,24.042215823468
quadrant_DN,-8.29244365857087,12.5297150383694,-0.661822206903918,39,0.511976922941614,-33.6361844973288,17.0512971801871
quadrant_VT,-36.703276455809,18.7360815405883,-1.95896225026017,39,0.0572947281465181,-74.6005784650254,1.19402555340741
quadrant_VN,-24.7751386461595,16.9177435957504,-1.46444698762208,39,0.151086882876159,-58.994505004794,9.44422771247499
Rsquared,0.551698196812507,0,0,0,0,0,0
