Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),1919.39655435118,811.486207818862,2.36528549204822,39,0.0230845617560468,278.010770060905,3560.78233864146
genotype_NF1(NF1-KO/WT),-1049.6086472102,726.956910607413,-1.44383887393434,39,0.156770025188878,-2520.01778955379,420.800495133394
sex_Male,-169.090161974621,783.811306654364,-0.215728148521319,39,0.830323970334076,-1754.49817496655,1416.31785101731
which_eye_Right,540.109313147071,803.951442900812,0.671818326736565,39,0.505659832705714,-1086.03597055885,2166.254596853
quadrant_DN,-389.966353310297,752.346845645957,-0.518333207040267,39,0.60715428085091,-1911.73148671667,1131.79878009608
quadrant_VT,458.585469828013,1410.72263877755,0.325071319636152,39,0.746864569640901,-2394.87040231764,3312.04134197367
quadrant_VN,-268.256324358344,1509.46183714846,-0.177716532976487,39,0.859865457283464,-3321.43107650055,2784.91842778386
Rsquared,-0.0410624202949341,0,0,0,0,0,0
