genotype,labeled,sex,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
NF1(NF1-KO/WT),,Male,Left,DN,ON alpha,DJID_2296,366.666666666667,0.0555556,0,0,30,30,614,439,133.333333333333,13.6666666666667,192.755905511811,0.0540184453227932
NF1(NF1-KO/WT),,Male,Left,DN,ON alpha,DJID_2296,300,0,0,0,30,30,614,614,149.25,17.5,229.809426229508,0.126415094339623
NF1(NF1-KO/WT),,Male,Left,DN,ON alpha,DJID_2296,333.333333333333,0,0,0,30,30,614,858,181,18.3333333333333,213.685950413223,0.125388601036269
NF1(NF1-KO/WT),,Male,Left,DN,ON alpha,DJID_2296,333.333333333333,0,0,0,30,30,439,614,147.666666666667,11.3333333333333,193.381294964029,0.1688654353562
NF1(WT/WT),,Male,Right,VT,ON alpha,DJID_2295,400,2.77778,7,0,30,30,314,314,124.333333333333,7.33333333333333,127.246835443038,0.133738601823708
NF1(WT/WT),,Male,Right,DN,ON alpha,DJID_2295,366.666666666667,0,0,0,30,30,439,439,151.666666666667,11.3333333333333,202.444444444444,0.0807600950118765
NF1(WT/WT),,Male,Right,VT,ON alpha,DJID_2295,333.333333333333,0,0,0,30,30,314,439,97.3333333333333,2,136.951219512195,0.275109170305677
NF1(WT/WT),,Male,Right,DN,ON alpha,DJID_2295,433.333333333333,0.222222,0,0,30,82,614,858,192.333333333333,12,158.193430656934,0.024866785079929
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,366.666666666667,7.88889,47,9.33333333333333,30,30,160,224,179,64.3333333333333,48.3558558558559,0.173770491803279
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,400,2.11111,49.6666666666667,6,30,30,115,439,236,68.3333333333333,49.375,0.128286852589641
NF1(NF1-KO/WT),,Female,Left,VN,ON alpha,DJID_2292,300,0,0,0,30,30,314,314,118.666666666667,11.3333333333333,201.345132743363,0.238260869565217
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,366.666666666667,5.77778,15.6666666666667,2.33333333333333,30,42,115,314,157.333333333333,33,60.943661971831,0.110588235294118
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,300,0.0555556,9.66666666666667,1,30,30,160,224,169.333333333333,24,75.1298701298701,0.343915343915344
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,333.333333333333,0.222222,25.3333333333333,3,30,30,160,314,159,32.3333333333333,56.8377192982456,0.227799227799228
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,266.666666666667,0.333333,5.33333333333333,1.66666666666667,30,30,224,224,161,30.6666666666667,69.0495495495495,0.118055555555556
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,266.666666666667,0,0,0,30,30,224,314,98,9.66666666666667,96.620253164557,0.367441860465116
NF1(NF1-KO/WT),,Female,Left,VN,ON alpha,DJID_2292,433.333333333333,12.2778,15,3.66666666666667,30,82,439,858,179.666666666667,12.6666666666667,156.4375,0.0921985815602836
NF1(NF1-KO/WT),,Female,Left,VN,ON alpha,DJID_2292,366.666666666667,0,0,0,30,30,439,439,133.666666666667,9,192.547008547009,0.306188925081433
NF1(NF1-KO/WT),,Female,Left,VN,ON alpha,DJID_2292,400,0,0.333333333333333,0,30,30,314,314,112.333333333333,8.33333333333333,171.27619047619,0.0321592649310873
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,266.666666666667,0,0,0,30,30,224,314,112.666666666667,11.6666666666667,90.25,0.44136460554371
NF1(NF1-KO/WT),,Female,Left,DT,ON alpha,DJID_2292,250,0,0,0,30,30,314,439,104,6.75,107.384615384615,0.475177304964539
NF1(NF1-KO/WT),,Female,Left,VN,ON alpha,DJID_2292,466.666666666667,3.55556,8,0.333333333333333,30,42,439,314,158.666666666667,14,150.454545454545,0.0904925544100801
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2291,400,0,0,0,30,30,439,858,159.333333333333,21,158.72641509434,0.0517051705170518
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2291,200,2.36111,1.66666666666667,0.666666666666667,30,59,439,439,87.6666666666667,12.3333333333333,149.127516778523,0.300370828182942
