Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),159.379532697159,9.6556549685633,16.5063409179454,71,5.24361469423188e-26,140.126703510386,178.632361883931
genotype_NF1(NF1-KO/WT),13.395558425967,10.0038711823841,1.33903747676753,71,0.184829810738958,-6.55159417092986,33.3427110228638
sex_Male,23.7013043713015,10.3979490980741,2.27942108080636,71,0.0256499544881203,2.96838272800027,44.4342260146028
which_eye_Right,-19.5800095140152,8.52058129048374,-2.29796640000175,71,0.0245129254426862,-36.5695660683648,-2.59045295966552
quadrant_DT,-45.5616895977423,13.906854945587,-3.2762036978174,71,0.00162928259815159,-73.2911707840867,-17.8322084113979
quadrant_VT,-53.8208124129738,21.2970295952898,-2.52715113026266,71,0.0137279611911026,-96.2858833293139,-11.3557414966336
quadrant_VN,1.63698876872728,16.4333824284045,0.0996136234192297,71,0.920931808556419,-31.1302451356609,34.4042226731155
Rsquared,0.576434860704456,0,0,0,0,0,0
