Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),376.783612001529,15.7309555152779,23.9517308173428,71,9.70975968210429e-36,345.416977581966,408.150246421092
genotype_NF1(NF1-KO/WT),27.3990191273936,14.9976322809824,1.82688964591675,71,0.0719195397445625,-2.50541029265888,57.3034485474462
sex_Male,-48.654109127534,19.6313781834489,-2.47838479157587,71,0.0155767365623222,-87.7979654580913,-9.51025279697665
which_eye_Right,20.2472125671902,15.4785366025475,1.30808312743582,71,0.195064372633027,-10.6161128354153,51.1105379697956
quadrant_DT,-103.049309770948,14.6836421667014,-7.01796656449698,71,1.08850287247917e-09,-132.327660685061,-73.7709588568357
quadrant_VT,-11.7696499910487,36.5172489887975,-0.322303851384295,71,0.748169645295008,-84.5829764242291,61.0436764421317
quadrant_VN,-10.8492977955892,29.917156667178,-0.362644682991947,71,0.71794764053209,-70.5024139169074,48.8038183257291
Rsquared,0.417350634002011,0,0,0,0,0,0
