Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),-0.73506615643445,1.17463520426448,-0.625782501465826,71,0.533464126910607,-3.07722223161562,1.60708991874672
genotype_NF1(NF1-KO/WT),-0.840403843704136,1.2209143220493,-0.688339737299107,71,0.493481838864691,-3.27483785886209,1.59403017145382
sex_Male,1.00478697584369,1.25861464793312,0.79832773080604,71,0.427342593364569,-1.50481935407592,3.5143933057633
which_eye_Right,1.5653462958411,1.05469480150008,1.48416991684677,71,0.142189981040756,-0.537655408711262,3.66834800039346
quadrant_DT,3.29115692109629,1.50340526658118,2.18913488881181,71,0.0318762391474659,0.293451960612547,6.28886188158004
quadrant_VT,3.71144226656972,3.48166669307757,1.06599585593561,71,0.290037116620187,-3.23080394514134,10.6536884782808
quadrant_VN,4.74214199690096,2.03102547665557,2.33485106484715,71,0.0223832936748433,0.692392217798061,8.79189177600385
Rsquared,0.239287257899825,0,0,0,0,0,0
