Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),387.405886607627,47.2187803227922,8.20448736624035,53,5.28216500866787e-11,292.697007071393,482.114766143862
quadrant_DN,-78.3025259482547,59.99141396517,-1.30522887814773,53,0.197453127599802,-198.630064262351,42.0250123658414
quadrant_VT,-79.8554759801651,129.976451966265,-0.614384180919874,53,0.541590068382886,-340.555223997126,180.844272036796
quadrant_VN,314.542113557026,194.493748172932,1.61723508602114,53,0.11176466637949,-75.5629429551935,704.647170069246
