Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),90.6943157438969,4.48440881608677,20.2243638935309,53,1.38954336467569e-26,81.6997307196627,99.6889007681311
genotype_NF1(NF1-KO/WT),-6.7878810965068,7.81856741619533,-0.868174530598333,53,0.389213035094524,-22.4699413806633,8.89417918764974
sex_Male,-11.9874770306845,8.24324055088597,-1.4542190000019,53,0.151782333696892,-28.5213237540659,4.54636969269688
which_eye_Right,3.64438572001452,7.84122910721201,0.464772253199766,53,0.643998377505734,-12.0831281601459,19.3718996001749
quadrant_DT,-5.11788274392166,6.18493669906476,-0.827475363603244,53,0.411678030873042,-17.5232947593653,7.28752927152198
quadrant_VT,6.98092691052057,7.18629602083704,0.97142211930583,53,0.335750768555314,-7.43295755444204,21.3948113754832
quadrant_VN,-7.93785890167088,7.56354144034944,-1.04948970852788,53,0.298714947291587,-23.1084018560725,7.23268405273074
Rsquared,0.334153315362255,0,0,0,0,0,0
