Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),116.995654554591,6.38250526411884,18.3306788969398,53,1.341401402989e-24,104.193970180989,129.797338928192
genotype_NF1(NF1-KO/WT),-0.922826558152968,6.0310145778936,-0.153013484917703,53,0.878968719501363,-13.0195098954667,11.1738567791608
sex_Male,-19.39364018551,7.06322659555367,-2.74571966836211,53,0.00822730223347291,-33.5606786435645,-5.22660172745561
which_eye_Right,-0.622897340262233,6.8558253043868,-0.0908566529347914,53,0.927949011759069,-14.373941489135,13.1281468086105
quadrant_DT,-10.41580630195,7.1183994445473,-1.4632230718562,53,0.149311983035418,-24.6935074809236,3.86189487702369
quadrant_VT,13.7135270660821,10.8275498386688,1.26654019334149,53,0.210857837230952,-8.00378766193238,35.4308417940967
quadrant_VN,-0.374314430547597,8.77983945360652,-0.0426334026408465,53,0.966153981093603,-17.9844422541527,17.2358133930575
Rsquared,0.0702613653683047,0,0,0,0,0,0
