Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),353.883447743611,28.6131543258706,12.3678586328962,97,1.18227254530776e-21,297.09425692806,410.672638559163
sex_Male,58.8688315797099,44.4887231723694,1.32323041395514,97,0.18886939864762,-29.4289688166493,147.166631976069
