Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),460.401409066769,32.2735967359593,14.2655748237007,74,6.18884460674534e-23,396.094863824441,524.707954309097
quadrant_DT,-167.03462196795,46.7752044465678,-3.57100784366975,74,0.000629365611358093,-260.236251323716,-73.8329926121828
quadrant_VT,-183.166229252949,75.0790703907731,-2.43964434162014,74,0.0170977081865415,-332.764542584316,-33.5679159215833
quadrant_VN,6.3723729398811,71.1420431515853,0.089572532044142,74,0.928868904890746,-135.381242375691,148.125988255453
Rsquared,0.46819538013591,0,0,0,0,0,0
