Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),393.055840637283,28.8485537620171,13.6248022649508,73,9.69928479654631e-22,335.560755903504,450.550925371062
sex_Male,128.976695442722,46.0261433317048,2.80224859409145,73,0.00649413147712869,37.2467240668392,220.706666818604
quadrant_DT,-152.588435806118,45.0473078987819,-3.38729311303071,73,0.00114021581438755,-242.367590977466,-62.8092806347701
quadrant_VT,-212.847629400069,73.6470949822809,-2.89010217512692,73,0.00506824704284964,-359.626078029893,-66.069180770246
quadrant_VN,-4.05584196389095,56.954304192074,-0.071212211639228,73,0.943423599313009,-117.565606525751,109.453922597969
Rsquared,0.488625268410653,0,0,0,0,0,0
