Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),422.818892310982,40.3738778800788,10.4725856051496,71,4.77739243589161e-16,342.315666277789,503.322118344175
genotype_NF1(NF1-KO/WT),64.3492840373456,31.941084628439,2.01462426169623,71,0.047732632933607,0.660570180673602,128.037997894018
sex_Male,66.4810704821107,35.9226599986445,1.85067226326278,71,0.068376811762329,-5.14667917756017,138.108820141782
which_eye_Right,-9.86745388755858,35.129645811859,-0.280886802571392,71,0.779614136063651,-79.913978168881,60.1790703937639
quadrant_DT,-187.16520668189,56.5374846953947,-3.3104622126413,71,0.00146607966865814,-299.897749324946,-74.4326640388336
quadrant_VT,-193.388683106638,70.4038273528211,-2.74684900491974,71,0.00761994099964826,-333.769927727744,-53.007438485531
quadrant_VN,-98.1681762649397,68.1030069495425,-1.44146610644773,71,0.153849280435458,-233.961715302325,37.6253627724456
Rsquared,0.50355245296862,0,0,0,0,0,0
