Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),1625.08643642324,628.834571503578,2.58428291011032,48,0.0128556267927177,360.729790162405,2889.44308268408
genotype_NF1(NF1-KO/WT),-871.582706761006,641.530691643399,-1.35859861128123,48,0.180624581203809,-2161.46661346194,418.301199939927
genotype_NF1_KO_labeled,-1516.15544458143,1066.20182627814,-1.42201542636066,48,0.161487539662852,-3659.8978951387,627.587005975847
genotype_NF1_KO_NOT_labeled,-935.132187942964,1105.32968826517,-0.846021054053717,48,0.401738988398849,-3157.54647780287,1287.28210191694
sex_Male,42.4583647397105,616.973081118299,0.0688172078152134,48,0.945421007487567,-1198.04915667526,1282.96588615468
which_eye_Right,505.725403232251,618.632920844454,0.817488669277282,48,0.417688640989197,-738.119449628209,1749.57025609271
quadrant_DN,-288.745090758828,611.592968376855,-0.472119703281001,48,0.638980727145229,-1518.43517049591,940.944988978256
quadrant_VT,446.976854448898,1211.13890117499,0.369054989493988,48,0.71370974105621,-1988.18111656437,2882.13482546216
quadrant_VN,-217.257779965799,1032.2811024845,-0.210463777204583,48,0.834196608147276,-2292.7980442598,1858.2824843282
