Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),456.643569178185,74.814004741439,6.10371775653995,64,6.72948074739843e-08,307.185413347947,606.101725008423
sex_Male,-121.60397111242,87.1150220149981,-1.39590128429841,64,0.167568000302197,-295.636233928321,52.4282917034816
quadrant_DT,-114.189678130662,87.5577433265177,-1.30416424398731,64,0.196848599538954,-289.106378439185,60.72702217786
quadrant_VT,45.5570873261052,142.995778612322,0.318590435103791,64,0.751074498802016,-240.10982004998,331.223994702191
quadrant_VN,9.30818745549379,239.894643227256,0.0388011475799232,64,0.969169712571576,-469.936455231562,488.55283014255
