Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),524.339790752531,85.5540029842756,6.1287581230875,60,7.4802421236618e-08,353.206304918483,695.473276586579
genotype_NF1(NF1-KO/WT),-101.237174833655,89.4075097599129,-1.13231176112061,60,0.262008316867869,-280.078821878127,77.6044722108179
genotype_NF1_KO_labeled,-188.482618804282,160.334960631664,-1.17555533778613,60,0.244416334181968,-509.200291348543,132.235053739979
genotype_NF1_KO_NOT_labeled,-27.9878651490843,172.97992401519,-0.161798343411381,60,0.872008283725541,-373.999230408862,318.023500110693
sex_Male,-102.573127960139,94.7446106215886,-1.08262757414053,60,0.283305550763066,-292.090566234092,86.9443103138135
which_eye_Right,-53.7480976154248,88.8817992314494,-0.604714329369774,60,0.547648986873346,-231.538167034802,124.041971803952
quadrant_DT,-91.7128203457386,89.3806424690255,-1.02609265062646,60,0.308967000351469,-270.500724806766,87.0750841152886
quadrant_VT,40.4916585144188,142.473106828526,0.28420562600037,60,0.777231337209705,-244.496986770287,325.480303799125
quadrant_VN,77.878092083205,231.516189693455,0.336382920720669,60,0.737755779169174,-385.223237921655,540.979422088065
