genotype,labeled,sex,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
NF1(WT/WT),F,Male,Right,DT,OFF sustained alpha,DJID_2297,233.333333333333,82.5556,27.6666666666667,64,224,1200,59,439,86,92.3333333333333,281.739130434783,NaN
NF1(WT/WT),F,Male,Right,DT,OFF sustained alpha,DJID_2297,300,78.6667,14.3333333333333,48.6666666666667,439,224,30,30,104,105,5061.50000000002,NaN
NF1(WT/WT),F,Male,Right,VN,OFF sustained alpha,DJID_2297,266.666666666667,75.8889,21,55,314,1200,42,42,78.6666666666667,81.6666666666667,1022.75,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2297,266.666666666667,90.3889,9.66666666666667,62.3333333333333,314,314,30,82,74.3333333333333,94.6666666666667,2547,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2297,266.666666666667,123.278,12,103.666666666667,314,1200,30,82,108.666666666667,145.333333333333,461.272727272727,NaN
NF1(WT/WT),F,Male,Right,VN,OFF sustained alpha,DJID_2297,266.666666666667,84.6111,28.6666666666667,56,439,1200,30,30,86,89,5814.00000000002,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2297,300,104.611,14.6666666666667,83.6666666666667,224,858,30,82,100,115.333333333333,298.105263157895,NaN
NF1(WT/WT),F,Male,Right,VN,OFF sustained alpha,DJID_2297,266.666666666667,72.2778,28.6666666666667,64.3333333333333,314,42,30,82,81,83,959,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2297,233.333333333333,121.056,14,112,314,439,42,160,116.666666666667,138.666666666667,2204,NaN
NF1(WT/WT),F,Female,Left,DT,OFF sustained alpha,DJID_3138,250,114.472,8,75.3333333333333,314,858,30,59,82.5,133.5,412.181818181818,NaN
NF1_KO_labeled,T,Female,Right,DT,OFF sustained alpha,DJID_3140,233.333333333333,74.6667,6,82.6666666666667,314,30,30,224,63.6666666666667,111.333333333333,449,NaN
NF1_KO_labeled,T,Male,Left,DN,OFF sustained alpha,DJID_3142,300,51,3.33333333333333,30,160,82,42,314,66.3333333333333,63,164.017857142857,NaN
NF1_KO_labeled,T,Female,Right,DT,OFF sustained alpha,DJID_3141,266.666666666667,40,5.66666666666667,20.3333333333333,314,59,82,30,75.3333333333333,42.5,331,NaN
NF1_KO_labeled,T,Female,Right,DN,OFF sustained alpha,DJID_3141,233.333333333333,9.88889,1,9,439,59,42,314,9.66666666666667,59.3333333333333,503.5,NaN
NF1_KO_NOT_labeled,F,Female,Right,DT,OFF sustained alpha,DJID_3140,450,30.5833,2,32.3333333333333,614,59,30,314,32.3333333333333,112.666666666667,839,NaN
NF1_KO_NOT_labeled,F,Female,Right,DT,OFF sustained alpha,DJID_3140,233.333333333333,89.2917,28,76.6,439,82,42,614,91,112.25,1216.77777777778,NaN
NF1_KO_NOT_labeled,F,Male,Right,DT,OFF sustained alpha,DJID_3142,266.666666666667,86.8333,8.33333333333333,103.333333333333,439,30,30,160,70.6666666666667,138,3926.50000000001,NaN
NF1_KO_NOT_labeled,F,Female,Right,DT,OFF sustained alpha,DJID_3141,300,91.5,10,94.6666666666667,224,42,30,224,82,144,344,NaN
