Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),278.248109608407,13.6040778106497,20.4532871306121,53,8.17875901488058e-27,250.961785019704,305.53443419711
genotype_NF1(NF1-KO/WT),1.54469687429728,27.3078202630247,0.0565660993597806,53,0.95510355664056,-53.2278542591246,56.3172480077192
sex_Male,-45.8636498094616,26.6898609963096,-1.71839223200912,53,0.0915623524108261,-99.3967316184001,7.66943199947686
which_eye_Right,34.7180775119217,26.9429021902896,1.28857972562563,53,0.203140945476156,-19.3225406584927,88.7586956823361
quadrant_DT,-45.2379790877909,15.2192897831623,-2.97241065334333,53,0.00443661422804949,-75.7640086219508,-14.7119495536311
quadrant_VT,28.6383241083272,21.9984411769609,1.30183424716112,53,0.198602994792994,-15.4849611855979,72.7616094022522
quadrant_VN,-8.20242217414342,20.5759940632043,-0.398640383980849,53,0.691759748260624,-49.4726398660996,33.0677955178128
Rsquared,0.209951019245045,0,0,0,0,0,0
