Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),962.853354651287,465.325592950745,2.06920351950898,53,0.0434184435295052,29.5284100714179,1896.17829923116
genotype_NF1(NF1-KO/WT),-220.342744773609,433.700376569339,-0.50805292473243,53,0.613524305885515,-1090.23553824541,649.550048698194
sex_Male,1298.85793272439,508.93158398864,2.55212679579614,53,0.0136253707753784,278.070446248391,2319.64541920038
which_eye_Right,-650.590164301706,493.981088366653,-1.3170345578469,53,0.193493187096486,-1641.39075405588,340.210425452469
quadrant_DT,248.722017717673,519.02853608384,0.479206826650273,53,0.633762892487431,-792.317389988183,1289.76142542353
quadrant_VT,-1339.59060583534,788.392224504806,-1.69914233575394,53,0.0951556364102469,-2920.9051528756,241.723941204915
quadrant_VN,59.0186309320075,639.431830682298,0.0922985502129795,53,0.926808839162906,-1223.51920273778,1341.5564646018
Rsquared,0.0188225601718134,0,0,0,0,0,0
