Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),491.509037125739,82.177882557597,5.98103798526629,55,1.7263891888151e-07,326.820880284439,656.19719396704
sex_Male,-167.097893147029,98.1171648844304,-1.70304445041649,55,0.0942051844501704,-363.729085584793,29.5332992907344
quadrant_DT,-81.6302718717107,110.989334565219,-0.735478523152544,55,0.465173034973042,-304.057868807871,140.79732506445
quadrant_VT,58.1310932480619,148.559522405436,0.391298331516006,55,0.697088586704299,-239.58884263648,355.851029132604
quadrant_VN,8.34512365511667,237.764684531317,0.0350982471243222,55,0.972128473718886,-468.145952030259,484.836199340492
Rsquared,0.0980788217832456,0,0,0,0,0,0
