Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),559.630037534409,90.4184758282629,6.18933279297194,53,9.03396847932432e-08,378.273541739125,740.986533329693
genotype_NF1(NF1-KO/WT),-132.594240642521,107.200636491652,-1.23687922928375,53,0.221584650563051,-347.611487981178,82.4230066961356
sex_Male,-114.289268074515,120.358526979409,-0.949573502956449,53,0.346639091057242,-355.697901565821,127.119365416791
which_eye_Right,-64.0997039384606,112.251330567069,-0.571037364231165,53,0.57038785358105,-289.247360692462,161.047952815541
quadrant_DT,-63.8066994927279,104.777977025856,-0.608970523232974,53,0.545145517839392,-273.964707309845,146.35130832439
quadrant_VT,31.4945566159111,149.438819259085,0.210752177861553,53,0.83388886419184,-268.241756658029,331.230869889851
quadrant_VN,33.2680431885588,220.427714836581,0.150924956116443,53,0.88060788788037,-408.853963101982,475.3900494791
Rsquared,0.111160031211222,0,0,0,0,0,0
