Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),493.451307702022,72.8214986091542,6.77617622716695,40,3.84865456861869e-08,346.273568977838,640.629046426206
genotype_NF1(NF1-KO/WT),-94.5366421816981,67.3442099992608,-1.40378277780281,40,0.16810003703699,-230.644367690822,41.5710833274255
sex_Male,-9.21964320561235,71.4251427613545,-0.129081200949321,40,0.897940278692307,-153.575241489698,135.135955078473
quadrant_DN,-126.901967941743,69.4407718298133,-1.82748498609371,40,0.0750937662139941,-267.247002970852,13.4430670873658
quadrant_VT,-114.540569708611,141.931911647281,-0.807010688288752,40,0.424433069389831,-401.395663438054,172.314524020833
quadrant_VN,665.10719790478,224.314112134562,2.96507068403166,40,0.00508174278685419,211.751466171215,1118.46292963835
Rsquared,0.207684987573717,0,0,0,0,0,0
