Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),42.1354725892312,3.2616217616283,12.9185649559181,39,1.13942105058531e-15,35.5382198673913,48.7327253110711
genotype_NF1(NF1-KO/WT),-1.30640188201052,2.88703486107863,-0.452506445149896,39,0.653411353614764,-7.14598108134386,4.53317731732283
sex_Male,-0.884973385384857,3.10332470894358,-0.285169445154876,39,0.777023329004878,-7.16204009609076,5.39209332532104
which_eye_Right,-5.22290003443957,3.17828157177321,-1.64330941626599,39,0.108358211498496,-11.6515813109854,1.20578124210627
quadrant_DN,-6.40897065982429,2.96959699724765,-2.15819542711163,39,0.0371289963514936,-12.4155475423255,-0.402393777323048
quadrant_VT,-11.274402850174,5.78123565045055,-1.95017181998027,39,0.0583698597448896,-22.9680557069331,0.419250006585198
quadrant_VN,-12.4331217453033,6.25096336001067,-1.98899290065301,39,0.0537498504544124,-25.0768885750794,0.210645084472773
Rsquared,0.0999054373706528,0,0,0,0,0,0
