Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),313.643029276161,77.8638379249804,4.02809619503147,39,0.00025176727222706,156.148551306089,471.137507246233
genotype_NF1(NF1-KO/WT),-39.1147013531503,119.485182986369,-0.327360266566379,39,0.745146171778683,-280.79629605861,202.566893352309
sex_Male,-56.5000079062727,141.681486904311,-0.398781867276927,39,0.692229067349951,-343.07786500493,230.077849192384
which_eye_Right,199.144602317636,123.465453250866,1.61295809535482,39,0.114817458989289,-50.5878489111135,448.877053546386
quadrant_DN,-12.2677754211135,70.4947415094088,-0.174023979071916,39,0.862746814485384,-154.856848982533,130.321298140306
quadrant_VT,33.7950438387686,150.513103430586,0.224532237183949,39,0.823515430256204,-270.646443816831,338.236531494368
quadrant_VN,321.666800184513,357.831030642969,0.89893489563084,39,0.374204184832873,-402.114776404416,1045.44837677344
Rsquared,0.453154202391855,0,0,0,0,0,0
