Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),423.439280896812,55.8773720753836,7.57800993800415,42,2.19122196712815e-09,310.674178709902,536.204383083722
quadrant_DN,-107.934220637853,71.1200714641885,-1.51763374833224,42,0.136598616466842,-251.460335562872,35.5918942871658
quadrant_VT,-116.42332437123,139.236277147416,-0.836156544518687,42,0.407798936583208,-397.413507650988,164.566858908529
quadrant_VN,239.601450283844,366.632066094371,0.653520170333848,42,0.516983076192879,-500.292013967729,979.494914535417
Rsquared,0.194498313648913,0,0,0,0,0,0
