Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),866.025928672278,431.992794507803,2.00472308724269,60,0.0495112178531603,1.91168269246486,1730.14017465209
genotype_NF1(NF1-KO/WT),-160.579674378275,404.591934024189,-0.396892920679615,60,0.692854673851797,-969.884038811398,648.724690054849
genotype_NF1_KO_labeled,-561.896605544234,819.471222692562,-0.685681925105305,60,0.495554636882975,-2201.08310749953,1077.28989641106
genotype_NF1_KO_NOT_labeled,665.467613822726,863.815703819786,0.77038147243681,60,0.444096507089498,-1062.42105714971,2393.35628479516
sex_Male,1257.26493890192,442.990438458216,2.83813109663881,60,0.00618283660186112,371.152129680812,2143.37774812303
which_eye_Right,-497.783708719161,434.622754301858,-1.14532362558596,60,0.256623035071018,-1367.15865754701,371.591240108684
quadrant_DT,233.543375943122,466.006578674277,0.501158967771484,60,0.618093002998402,-698.608568423353,1165.6953203096
quadrant_VT,-1316.75928754155,746.087895251801,-1.76488493637489,60,0.0826722269974871,-2809.15727944493,175.638704361832
quadrant_VN,70.357790833309,606.607857865614,0.115985623860639,60,0.908051266625931,-1143.03858607202,1283.75416773863
