Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),117.537784365434,6.0559692306806,19.4085834799105,60,1.51805540304302e-27,105.424042303118,129.65152642775
genotype_NF1(NF1-KO/WT),-2.62803511997863,5.65496156833868,-0.46473085417461,60,0.643806318893545,-13.9396424287009,8.68357218874359
genotype_NF1_KO_labeled,-33.5425712468081,17.1576010863259,-1.95496859252314,60,0.0552500122550478,-67.8628833307754,0.777740837159158
genotype_NF1_KO_NOT_labeled,28.4492769692481,14.6763158299875,1.9384481295448,60,0.05727719234871,-0.907725620669403,57.8062795591656
sex_Male,-17.0997775504294,6.23355775484696,-2.74318105693868,60,0.00801110301467623,-29.5687495508499,-4.63080555000893
which_eye_Right,-3.36662647857907,6.16201171567062,-0.546351846429859,60,0.586850101118501,-15.6924850926614,8.95923213550323
quadrant_DT,-7.72473089788713,6.54629006467121,-1.18001659284481,60,0.242650980876933,-20.8192606565225,5.36979886074828
quadrant_VT,12.8331831201337,10.4269290547326,1.23077303516408,60,0.223210886983263,-8.02378035834505,33.6901465986125
quadrant_VN,0.384435209059157,8.47760036457471,0.0453471728468818,60,0.963981178555966,-16.573290336107,17.3421607542253
