Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),381.566629962272,28.8796470152004,13.2123024135801,94,3.77620280284819e-23,324.225413820759,438.907846103786
sex_Male,118.088800970418,45.767616142981,2.58018247228566,94,0.0114233559222623,27.216126240177,208.961475700658
quadrant_DT,-40.5344851449192,63.1144539291024,-0.642237754135563,94,0.522282081833514,-165.849712941761,84.7807426519229
quadrant_VT,-71.5618972295047,100.904609578772,-0.709203449953785,94,0.479953587560294,-271.910364940553,128.786570481543
quadrant_VN,20.9522408553364,49.6068835559388,0.422365594317366,94,0.673722719158488,-77.5433893229265,119.447871033599
